recommendation_id,recommendation_type,is_backbone,decision_or_opportunity,target_kpi,kpi_direction,baseline_value,baseline_numeric,baseline_numeric_source,baseline_unit,baseline_date,owner_decision,action_taken,action_date,post_value,post_unit,post_date,min_window_days,measurement_window_status,outcome_status,attribution_confidence,data_limitation,baseline_source,event_ids_used,as_of_date
DEC-REVPROTECT-AR90,backbone,True,Escalate collections on 90+ day AR,AR 90+ outstanding (₹) & tenant count,lower_is_better,"₹800,503 across 47 tenants",800503.0,analytics baseline (unit-resolved),INR,current snapshot,pending,,,,,,14,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-LEAD-FOLLOWUP,backbone,True,Follow up open leads promptly,open leads (in_progress),context_only,16,16.0,analytics baseline (unit-resolved),leads,current snapshot,pending,,,,,,14,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-AMEN-AC,backbone,True,Highlight AC-associated available inventory,AC-Issue tickets (cumulative) & share of maintenance,lower_is_better,304 tickets (19.7% of maintenance),304.0,analytics baseline (unit-resolved),tickets,cumulative (all recorded),pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-LEAD-DEMAND-2SH,backbone,True,lead-derived demand signal for 2-sharing (NOT a statistical forecast),Double-requested leads,context_only,2,2.0,analytics baseline (unit-resolved),leads,current snapshot,pending,,,,,,14,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-EB-INVESTIGATE,backbone,True,Review the 6 currently-flagged apartment(s) first,high-consumption apartments flagged,lower_is_better,28,28.0,analytics baseline (unit-resolved),count,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-PRICEREV-Triple,backbone,True,Pricing review candidate,Triple occupancy %,higher_is_better,72.7%,72.7,analytics baseline (unit-resolved),percent,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-MAINT-PRIORITISE,backbone,True,Prioritise recurring maintenance hotspots + review assets for replacement,maintenance tickets / month,lower_is_better,116.0,116.0,analytics baseline (unit-resolved),tickets,2026-05..2026-07,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-VAC-Triple,backbone,True,Reduce 3-sharing vacancy,vacant 3-sharing beds & ₹/mo at risk,lower_is_better,"9 beds / ₹128,700",128700.0,analytics baseline (unit-resolved),INR,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-LOC-MKT,backbone,True,Locality-targeted marketing,leads by locality,context_only,UNAVAILABLE,,not numerically resolvable,leads,UNAVAILABLE,pending,,,,,,,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-RETENTION-REVIEW,backbone,True,Retention review signal (not a leave prediction),tenant exits / month,lower_is_better,22.0,22.0,analytics baseline (unit-resolved),tenants,2026-05..2026-07,pending,,,,,,60,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
