recommendation_id,category,priority,score,target_inventory_locality,recommended_action,business_reason,vishful_evidence,market_evidence,evidence_source,confidence,provenance,validation_status
SHR-Double,Sharing-positioning,High,77.8,2-sharing,Highlight 2-sharing availability in marketing,SIGNAL: Vishful has 5 vacant 2-sharing beds AND 2-sharing is a first-party market-published configuration. REASON: promote a recognized offering you currently have available.,5 vacant 2-sharing beds (step4),2-sharing published in first-party market sources (phase3_playwright_market_research.csv),COMBINED,medium,step4_vacancy_at_risk.csv; phase3_playwright_market_research.csv,validated
INV-Triple,Inventory marketing,Medium,47.6,3-sharing,Prioritize marketing for 3-sharing beds,"SIGNAL: 3-sharing occupancy 72.7%, 9 vacant, median vacant 12d, ₹128,700/mo at risk. REASON: available inventory with revenue upside.","step5 occ 72.7%, step4 vacant 9, rev_at_risk ₹128,700",,VISHFUL_INTERNAL,high,step5_pricing_analysis.csv; step4_vacancy_at_risk.csv,validated
VAC-Triple,Vacancy/slow-fill marketing,Medium,46.8,3-sharing,Targeted campaign to fill 3-sharing (low occupancy 72.7%),"SIGNAL: low occupancy 72.7%, ₹128,700/mo at risk. REASON: persistent vacancy erodes revenue.","step4 med_days 12, occ 72.7%, rev ₹128,700",,VISHFUL_INTERNAL,high,step4_vacancy_at_risk.csv; step5_pricing_analysis.csv,validated
LOC-TVM,Locality marketing,Medium,45.0,Thiruvanmiyur/Adyar/Perungudi belt,Run locality-targeted marketing for available inventory,SIGNAL: dense PG/co-living/serviced supply in Vishful's own locality cluster (market context) + 14 vacant beds internally. REASON: focus spend where inventory needs fill.,14 total vacant beds (step4),locality supply density (phase3_competitor_master.csv aggregate; coarse),COMBINED,low,step4_vacancy_at_risk.csv; phase3_competitor_master.csv,validated
AMEN-food,Amenity marketing,Low,30.0,Food,Confirm internally before marketing Food,"SIGNAL: Food published on 4/6 first-party market sources. REASON: common market amenity, but Vishful's own Food availability is UNKNOWN.",,Food on 4/6 first-party sources,MARKET_CONTEXT,low,phase3_playwright_market_research.csv,validated
AMEN-wifi,Amenity marketing,Low,30.0,Wi-Fi,Confirm internally before marketing Wi-Fi,"SIGNAL: Wi-Fi published on 5/6 first-party market sources. REASON: common market amenity, but Vishful's own Wi-Fi availability is UNKNOWN.",,Wi-Fi on 5/6 first-party sources,MARKET_CONTEXT,low,phase3_playwright_market_research.csv,validated
AMEN-parking,Amenity marketing,Low,30.0,Parking,Confirm internally before marketing Parking,"SIGNAL: Parking published on 3/6 first-party market sources. REASON: common market amenity, but Vishful's own Parking availability is UNKNOWN.",,Parking on 3/6 first-party sources,MARKET_CONTEXT,low,phase3_playwright_market_research.csv,validated
AMEN-ac_available,Amenity marketing,Low,30.0,AC,Confirm internally before marketing AC,"SIGNAL: AC published on 3/6 first-party market sources. REASON: common market amenity, but Vishful's own AC availability is UNKNOWN.",,AC on 3/6 first-party sources,MARKET_CONTEXT,low,phase3_playwright_market_research.csv,validated
AMEN-cctv_security,Amenity marketing,Low,30.0,Security/CCTV,Confirm internally before marketing Security/CCTV,"SIGNAL: Security/CCTV published on 2/6 first-party market sources. REASON: common market amenity, but Vishful's own Security/CCTV availability is UNKNOWN.",,Security/CCTV on 2/6 first-party sources,MARKET_CONTEXT,low,phase3_playwright_market_research.csv,validated
INV-Double,Inventory marketing,Low,23.5,2-sharing,Prioritize marketing for 2-sharing beds,"SIGNAL: 2-sharing occupancy 96.0%, 5 vacant, median vacant 22d, ₹67,500/mo at risk. REASON: available inventory with revenue upside.","step5 occ 96.0%, step4 vacant 5, rev_at_risk ₹67,500",,VISHFUL_INTERNAL,high,step5_pricing_analysis.csv; step4_vacancy_at_risk.csv,validated
