review_signal_id,theme,decision_class,strength,score,market_signal,evidence_strength,vishful_internal_fact,business_relevance,business_impact_metric,recommended_decision,supports_existing_decision,is_new_decision,trace,provenance
RS-maintenance,maintenance,SUPPORTING SIGNAL FOR EXISTING DECISION,High,96.5,"maintenance: 14 reviews across 5 independent PGs (+14/-0, pain=1)","pgs=5, reviews=14, avg_specificity=0.75, consistency=1.0","VERIFIED: 1,540 tickets; validated repeat hotspots",maintenance_cost/complaint_volume,maintenance_cost/complaint_volume,Reinforces existing DEC-MAINT-PRIORITISE — review-derived supporting evidence (do NOT duplicate the decision),DEC-MAINT-PRIORITISE,False,themes->Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB|Ci9DQUlRQUNvZENodHljRjlvT21aek0xaFpXRFEzTjFSd2NqSmpSazV1U1RrMlUzYxAB|Ci9DQUlRQUNvZENodHljRjlvT25rMWNuQTNhVEJWVUhkNGRFVm9SRVV3VjBZNVIyYxAB | market_aggregate | Vishful:VERIFIED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-room_quality,room_quality,OPERATIONAL PRIORITY,High,96.0,"room_quality: 43 reviews across 9 independent PGs (+39/-1, pain=2)","pgs=9, reviews=43, avg_specificity=0.67, consistency=0.95",PARTIAL: 158 Furniture tickets; room config known,complaint_volume/occupancy,complaint_volume/occupancy,Operational: reduce room_quality issues first (1 negative mentions; Vishful 158 own room_quality tickets); then market room_quality,,True,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT21aek0xaFpXRFEzTjFSd2NqSmpSazV1U1RrMlUzYxAB|Ci9DQUlRQUNvZENodHljRjlvT2tkdmJsVXlRVVYzZVY5Uk1rdzFaVEJuWlRacWVsRRAB | market_aggregate | Vishful:PARTIAL,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-location,location,SUPPORTING SIGNAL FOR EXISTING DECISION,High,95.2,"location: 30 reviews across 8 independent PGs (+26/-1, pain=2)","pgs=8, reviews=30, avg_specificity=0.63, consistency=0.93",FIXED: Vishful Thiruvanmiyur 600041 (fixed); 14 vacant beds,occupancy(marketing),occupancy(marketing),Reinforces existing DEC-LOC-MKT — review-derived supporting evidence (do NOT duplicate the decision),DEC-LOC-MKT,False,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB | market_aggregate | Vishful:FIXED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-cleanliness,cleanliness,OPERATIONAL PRIORITY,High,94.8,"cleanliness: 32 reviews across 9 independent PGs (+28/-3, pain=3)","pgs=9, reviews=32, avg_specificity=0.77, consistency=0.81",VERIFIED: housekeeping verified; 118 Cleaning tickets,complaint_volume/retention,complaint_volume/retention,Operational: reduce cleanliness issues first (3 negative mentions; Vishful 118 own cleanliness tickets); then market cleanliness,,True,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2sxa1JVUXRYMmhhWnpadWEyNXNOR0pCTkU4eFNFRRAB|Ci9DQUlRQUNvZENodHljRjlvT21GaUxWQldNVlJzYlRSbWJHZFZVVmt4VVV0bGIxRRAB | market_aggregate | Vishful:VERIFIED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-staff,staff,SUPPORTING SIGNAL FOR EXISTING DECISION,High,90.9,"staff: 66 reviews across 8 independent PGs (+53/-11, pain=12)","pgs=8, reviews=66, avg_specificity=0.61, consistency=0.66",PROXY_ONLY: tenant_rating 1020/1026 rated (own satisfaction proxy),retention,retention,Reinforces existing DEC-RETENTION-REVIEW — review-derived supporting evidence (do NOT duplicate the decision),DEC-RETENTION-REVIEW,False,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB | market_aggregate | Vishful:PROXY_ONLY,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-value,value,SUPPORTING SIGNAL FOR EXISTING DECISION,High,90.8,"value: 26 reviews across 8 independent PGs (+20/-4, pain=4)","pgs=8, reviews=26, avg_specificity=0.58, consistency=0.67",INTERNAL: own rate card; pricing-review candidates,occupancy/revenue,occupancy/revenue,Reinforces existing DEC-PRICEREV-Triple — review-derived supporting evidence (do NOT duplicate the decision),DEC-PRICEREV-Triple,False,themes->Ci9DQUlRQUNvZENodHljRjlvT21aS09EZGZNMUZpYUVobFVUTkhURUZRT1RrelZIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB|Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB | market_aggregate | Vishful:INTERNAL,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-ac,ac,SUPPORTING SIGNAL FOR EXISTING DECISION,High,85.6,"ac: 7 reviews across 5 independent PGs (+5/-1, pain=1)","pgs=5, reviews=7, avg_specificity=0.86, consistency=0.67",VERIFIED: 110 AC units; 5 vacant AC beds; 304 AC maintenance tickets,occupancy/complaint_volume,occupancy/complaint_volume,Reinforces existing DEC-AMEN-AC — review-derived supporting evidence (do NOT duplicate the decision),DEC-AMEN-AC,False,themes->Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB|Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB|ChdDSUhNMG9nS0VQZUNscTJTNUpYNjdnRRAB | market_aggregate | Vishful:VERIFIED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-laundry,laundry,MARKETING OPPORTUNITY,High,78.5,"laundry: 6 reviews across 3 independent PGs (+5/-0, pain=0)","pgs=3, reviews=6, avg_specificity=0.75, consistency=1.0",VERIFIED: washing machines verified; 132 tickets,complaint_volume/marketing,complaint_volume/marketing,Marketing: highlight verified Vishful laundry (market values it; Vishful laundry = VERIFIED),,True,themes->Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB|ChdDSUhNMG9nS0VJQ0FnSUNGaThIUy1BRRAB|Ci9DQUlRQUNvZENodHljRjlvT2pGVVdWOW9TR1ZyV2s5SFdrcGlSM28zV1VSV2IyYxAB | market_aggregate | Vishful:VERIFIED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-food,food,PRODUCT OPPORTUNITY,High,73.5,"food: 19 reviews across 7 independent PGs (+16/-2, pain=3)","pgs=7, reviews=19, avg_specificity=0.68, consistency=0.78",UNKNOWN: no food-service evidence (kitchen assets only) — status UNKNOWN,lead_conversion(if added),lead_conversion(if added),"Owner-verify Vishful food (recurring market signal across 7 PGs, +16/-2); if genuinely absent, evaluate as an amenity/product gap. Do NOT claim presence/absence.",,True,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2sxa1JVUXRYMmhhWnpadWEyNXNOR0pCTkU4eFNFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB | market_aggregate | Vishful:UNKNOWN,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
RS-sharing,sharing,NO ACTION / INFORMATIONAL,informational,72.0,"sharing: 2 reviews across 2 independent PGs (+2/-0, pain=0)","pgs=2, reviews=2, avg_specificity=1.0, consistency=1.0",VERIFIED: Single/Double/Triple inventory + vacancy,occupancy/vacant_bed_days,occupancy/vacant_bed_days,"Informational only — insufficient breadth/impact (2 PGs, 2 reviews)",DEC-VAC-Double,False,themes->Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xJMU1XYzJWa3B3WW1kVlZtc3haVEZRUVZrd1FXYxAB | market_aggregate | Vishful:VERIFIED,phase3_review_intelligence.csv / phase3_review_market_aggregate.csv / phase3_business_decisions.csv (dedup)
