property_name,review_id,theme,sentiment,extractor,model,evidence_snippet
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,staff,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,location,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,cleanliness,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,common_area,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,food,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,room_quality,positive,groq,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2paRlNsQlBhVUl6V0VVMWVHRmxaVEZxT1dnM1ZYYxAB,(none),positive,groq,openai/gpt-oss-120b,Good
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB,location,neutral,groq,openai/gpt-oss-120b,"Very good location and facility but unable to get extra hours for fresh up as we had bus at 10Pm, gave permission to wait in lobby, very cooperative staff"
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB,staff,neutral,groq,openai/gpt-oss-120b,"Very good location and facility but unable to get extra hours for fresh up as we had bus at 10Pm, gave permission to wait in lobby, very cooperative staff"
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB,staff,positive,groq,openai/gpt-oss-120b,Stayed with family for 4 nights and thoroughly enjoyed our stay. Felt at home with the kind of support rendered by the staff. The property is very well maintain
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB,maintenance,positive,groq,openai/gpt-oss-120b,Stayed with family for 4 nights and thoroughly enjoyed our stay. Felt at home with the kind of support rendered by the staff. The property is very well maintain
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB,location,positive,groq,openai/gpt-oss-120b,Stayed with family for 4 nights and thoroughly enjoyed our stay. Felt at home with the kind of support rendered by the staff. The property is very well maintain
Kolam Gandhi Serviced Apartments,Ci9DQUlRQUNvZENodHljRjlvT2tOR2FYUjNaRkl6UjFwT2FYSmllV2hzYm5GdFRtYxAB,(none),positive,groq,openai/gpt-oss-120b,Nice and wonderful 👍
