decision_ref,origin,reconciliation_status,topic,evidence_chain,business_metric,decision_strength,actionability,owner_input_required,expected_business_impact_type
DEC-REVPROTECT-AR90,internal_engine,EXISTING_STANDALONE,Escalate collections on 90+ day AR,Vishful internal (ar_aging #89 / ledger),"ar_recovered, dues_cleared",High,actionable_now,no,"₹800,503 aged AR (real, ar_aging #89)"
DEC-LEAD-FOLLOWUP,internal_engine,EXISTING_STANDALONE,Follow up open leads promptly,Vishful internal (leads #84),"visits_booked, leads_converted, beds_filled",High,actionable_now,lead->conversion linkage UNAVAILABLE (leads #84 not joined to allotments #44),not monetarily quantifiable — measure lead->visit->fill
DEC-AMEN-AC,internal_engine,EXISTING_REINFORCED,Highlight AC-associated available inventory,Vishful internal (phase3_inventory_amenity_matrix.csv (allocations #79)) + review support: ['ac'],beds_filled on AC inventory,Medium+review,review/plan,no,"₹67,500/mo revenue-at-risk on AC-associated vacant beds (real)"
DEC-LEAD-DEMAND-2SH,internal_engine,EXISTING_STANDALONE,lead-derived demand signal for 2-sharing (NOT a statistical forecast),Vishful internal (leads #84; step4),leads_converted_2sharing,Medium,review/plan,small n (leads bed_type mostly null),not monetarily quantifiable — measure conversion of these leads
DEC-EB-INVESTIGATE,internal_engine,EXISTING_STANDALONE,Review the 6 currently-flagged apartment(s) first,Vishful internal (phase2_eb_anomalies.csv),"units_consumed_after, eb_cost_change",Medium,review/plan,root cause not in data; cumulative count spans 2023-2026 and is not a current backlog,not monetarily quantifiable yet — measure EB units/₹ after inspection
DEC-PRICEREV-Triple,internal_engine,EXISTING_REINFORCED,Pricing review candidate,Vishful internal (rate_card #43; step4/step5) + review support: ['value'],"occupancy_after_review, days_to_fill",Medium+review,review/plan,no,not monetarily quantifiable — review only
DEC-MAINT-PRIORITISE,internal_engine,EXISTING_REINFORCED,Prioritise recurring maintenance hotspots + review assets for replacement,"Vishful internal (phase2_maintenance_repeat_register.csv) + review support: ['maintenance', 'cleanliness', 'room_quality', 'water']","repeat_tickets_after, resolution_time",Medium+review,review/plan,no,not monetarily quantifiable — measure repeat-ticket reduction
DEC-VAC-Triple,internal_engine,EXISTING_STANDALONE,Reduce 3-sharing vacancy,Vishful internal (step4_vacancy_at_risk.csv; step5_pricing_analysis.csv),"beds_filled, occupancy_after, revenue_recovered",Medium,review/plan,Triple fill-time unknown,"₹128,700 / month revenue-at-risk (real, step4)"
DEC-LOC-MKT,internal_engine,EXISTING_REINFORCED,Locality-targeted marketing,Vishful internal (step4_vacancy_at_risk.csv; phase3_market_signals.csv (context)) + review support: ['location'],"leads_by_locality, fills",Medium+review,review/plan,no,not monetarily quantifiable — measure leads by locality
DEC-RETENTION-REVIEW,internal_engine,EXISTING_REINFORCED,Retention review signal (not a leave prediction),Vishful internal (phase2_churn_risk_scored.csv) + review support: ['staff'],"retained_count, exits_avoided",Medium+review,review/plan,"churn is ranking-only, not a hard prediction",not monetarily quantifiable — measure retained vs exited
DEC-PRICEREV-Single,internal_engine,EXISTING_STANDALONE,Pricing review candidate (backbone) — no active single signal at present,Vishful internal (rate_card #43; step4/step5),"occupancy_after_review, days_to_fill",Low,review/plan,no,not applicable — no current single vacancy/slow-fill
DEC-MKT-ROI-GAP,internal_engine,EXISTING_STANDALONE,Establish spend->lead->conversion linkage,Vishful internal (financials #85; leads #84),"cost_per_lead, cost_per_fill (once linked)",Low,review/plan,spend<->lead<->conversion linkage missing,ROI UNAVAILABLE — do not estimate
