allotment_id,tenant_id,ar_90_plus,tenant_status,deposit_held_active,deposit_amount,pending_rent,refund_amount,settlement_status,settlement_date,classification,review_action,evidence_basis,limitation
597c2d33-b758-4acd-811b-c7b22289dcbc,d257c87f-0e42-048c-8409-362e925d86fc,42000.27,ACTIVE,42000.0,,,,,,Deposit-backed — evidence available,Active tenant with a deposit on file — review the receivable against the deposit before escalating.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
db02e562-aa09-448e-9187-bfa7c3788aca,491b8136-32a1-37c5-5253-b53ff3991d86,21750.0,ACTIVE,21750.0,,,,,,Deposit-backed — evidence available,Active tenant with a deposit on file — review the receivable against the deposit before escalating.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
959010dc-2b21-4db0-bbcc-902c491be61d,d497808b-36e2-ea42-d247-85b4e409078c,17690.0,ACTIVE,0.0,,,,,,No deposit evidence found,Active tenant with no deposit on file — conventional collections follow-up.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
452510c9-42bd-481f-b8df-4cfcdf59bb2f,d751c131-c1c9-4f5c-88f8-7e4c6cb710b3,15580.0,ACTIVE,21750.0,,,,,,Deposit-backed — evidence available,Active tenant with a deposit on file — review the receivable against the deposit before escalating.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
31a1c073-bb44-4019-8548-0c5a8114de7b,ba8dd5e0-ed0e-8b6a-7098-2732476feb31,15540.0,ACTIVE,11000.0,,,,,,Deposit-backed — evidence available,Active tenant with a deposit on file — review the receivable against the deposit before escalating.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
1bb08655-ecc9-4795-8186-bb34f130a593,d6d33436-345a-e39c-9f8d-91c76dca514e,14910.0,ACTIVE,0.0,,,,,,No deposit evidence found,Active tenant with no deposit on file — conventional collections follow-up.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
0775dc45-b49a-4b77-ac42-878673bade62,b3002707-86e9-43d5-956d-cf108fb6a23f,14735.0,ACTIVE,0.0,,,,,,No deposit evidence found,Active tenant with no deposit on file — conventional collections follow-up.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
7ce79ba5-79fe-49c0-9e0a-2ace149ffbd0,1932ea80-c6eb-874e-eca8-12410fa7a608,14580.0,ACTIVE,19500.0,,,,,,Deposit-backed — evidence available,Active tenant with a deposit on file — review the receivable against the deposit before escalating.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
55765ce0-31dd-476c-87de-500e35aa75ed,a467df39-5ec5-465e-a471-e2b54be7bc71,13500.0,ACTIVE,0.0,,,,,,No deposit evidence found,Active tenant with no deposit on file — conventional collections follow-up.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
4a578608-57b6-49f8-ac47-7386b4e4ba50,25ef6338-6197-45a8-82d9-ddd0a846f1b2,13065.0,ACTIVE,0.0,,,,,,No deposit evidence found,Active tenant with no deposit on file — conventional collections follow-up.,aging-gross 90+ bucket (v_tenant_aging); deposit evidence from tenant_allotments.deposit_paid (active) / deposit_settlements (exited),"Deposit evidence only — NOT a recovery estimate. No collectable amount, net AR, or recovery probability is computed. receipt_allocations is MISSING, so settlement-to-invoice reconciliation is UNAVAILABLE."
