attribute,status,evidence,source_file,confidence,can_use_for_decision
Bed types / sharing,VERIFIED_PRESENT,"203 beds; bed_type={'Double': 129, 'Single': 40, 'Triple': 33, 'Executive': 1}",beds #42,high,yes
Toilet type (attached/common),VERIFIED_PRESENT,"toilet_type={'Attached': 105, 'Common': 98}",beds #42,high,yes
Apartments / floors / building,VERIFIED_PRESENT,"43 apartments, floors [1.0, 2.0, 3.0, 4.0], types {'2BHK': 39, nan: 2, '4BHK': 1, 'Studio': 1}",apartments #41,high,yes
Gender allowed per apartment,VERIFIED_PRESENT,"{'male': 25, 'female': 18}",apartments #41,high,yes
Room size (sqft),PARTIAL,size_sqft present 40/43 apartments,apartments #41,high,yes
Rate card (rent by bed_type x toilet),VERIFIED_PRESENT,24 rate rows; monthly_rate populated,rate_card #43,high,yes
AC (air conditioning),VERIFIED_PRESENT,110 'Air Conditioner' asset(s); issue-type ['AC Issues'],assets #78 / asset_types #80 + issue_types #76,high,yes
Wi-Fi / Internet,VERIFIED_PRESENT,"managed service — tenant issue-subtypes ['no wifi connection', 'router issue', 'slow internet speed', 'wifi dropping frequently']",issue_subtypes #77 / issue_types #76,high,yes
Hot water (water heater/geyser),VERIFIED_PRESENT,83 'Water Heater' asset(s); issue-type ['Heater Issues'],assets #78 / asset_types #80 + issue_types #76,high,yes
RO / drinking water,VERIFIED_PRESENT,37 'RO Water Purifier' asset(s); issue-type ['RO Water Issues'],assets #78 / asset_types #80 + issue_types #76,high,yes
Refrigerator,VERIFIED_PRESENT,38 'Refrigerator' asset(s); issue-type ['Fridge Issues'],assets #78 / asset_types #80 + issue_types #76,high,yes
Washing machine / laundry,VERIFIED_PRESENT,41 'Washing Machine' asset(s); issue-type ['Washing machine Issue'],assets #78 / asset_types #80 + issue_types #76,high,yes
TV,VERIFIED_PRESENT,21 'TV' asset(s),assets #78 / asset_types #80,high,yes
Kitchen / cooking facility,VERIFIED_PRESENT,127 'Induction Stove/Microwave Oven/Kitchen Table/Dining Table' asset(s); issue-type ['Kitchen Equipment'],assets #78 / asset_types #80 + issue_types #76,high,yes
