decision_id,is_backbone,decision_topic,decision_source,evidence_summary,owner_action,business_impact_metric,kpi_name,baseline_period,baseline_value,current_period,current_value,target_value,data_confidence,status,outcome,outcome_availability,measurement_method,data_source,last_measured_at
DEC-REVPROTECT-AR90,True,Escalate collections on 90+ day AR,VISHFUL_INTERNAL,47 tenants with dues in the 90+ day bucket,none yet,"₹800,503 aged AR (real, ar_aging #89)",AR 90+ outstanding (₹) & tenant count,current snapshot,"₹800,503 across 47 tenants",current snapshot,"₹800,503 across 47 tenants",UNKNOWN,"high (ledger-derived receivable, measured not estimated)",baseline_established_pending_action,Outcome unavailable,pending_post_action_data,sum of positive 90+ day AR bucket (snapshot),ar_aging #89,2026-08 (data export snapshot)
DEC-LEAD-FOLLOWUP,True,Follow up open leads promptly,VISHFUL_INTERNAL,"16 leads in 'in_progress' status (whatsapp_bot), 18 total",none yet,not monetarily quantifiable — measure lead->visit->fill,open leads (in_progress),current snapshot,16,current snapshot,16,UNKNOWN,high (small n=18; whatsapp_bot only),baseline_established_pending_action,Outcome unavailable,pending_post_action_data,count leads status=in_progress (snapshot),leads #84,2026-08 (data export snapshot)
DEC-AMEN-AC,True,Highlight AC-associated available inventory,VISHFUL_INTERNAL,5 vacant beds are in AC-equipped apartments (bed/apartment-level allocation),none yet,"₹67,500/mo revenue-at-risk on AC-associated vacant beds (real)",AC-Issue tickets (cumulative) & share of maintenance,cumulative (all recorded),304 tickets (19.7% of maintenance),current snapshot,304 tickets (19.7% of maintenance),UNKNOWN,"medium — cumulative reliable; monthly TREND unreliable (created_at 34% null, coverage ends 2026-03)",baseline_established_pending_action,Outcome unavailable,pending_post_action_data,cumulative AC-Issue ticket count + % of all tickets,maintenance_tickets #71 (AC Issues),2026-08 (data export snapshot)
DEC-LEAD-DEMAND-2SH,True,lead-derived demand signal for 2-sharing (NOT a statistical forecast),VISHFUL_INTERNAL,2 lead(s) requested Double (2-sharing) while 5 2-sharing beds are vacant,none yet,not monetarily quantifiable — measure conversion of these leads,Double-requested leads,current snapshot,2,current snapshot,2,UNKNOWN,low (n=2; bed_type mostly null),baseline_established_pending_action,Outcome unavailable,pending_post_action_data,count leads bed_type=Double (snapshot),leads #84,2026-08 (data export snapshot)
DEC-EB-INVESTIGATE,True,Review the 6 currently-flagged apartment(s) first,VISHFUL_INTERNAL,6 apartment(s) flagged high-consumption in the current period (2026); 28 distinct apartment(s) flagged cumulatively across 2023-2026,none yet,not monetarily quantifiable yet — measure EB units/₹ after inspection,high-consumption apartments flagged,current snapshot,28,current snapshot,28,UNKNOWN,medium (validated anomaly engine; snapshot),baseline_established_pending_action,Outcome unavailable,pending_post_action_data,distinct apartments flagged high_consumption,phase2_eb_anomalies.csv,2026-08 (data export snapshot)
DEC-PRICEREV-Triple,True,Pricing review candidate,VISHFUL_INTERNAL,3-sharing: vacant 12d occupancy 72.7% despite current rate card,none yet,not monetarily quantifiable — review only,Triple occupancy %,current snapshot,72.7%,current snapshot,72.7%,UNKNOWN,high,baseline_established_pending_action,Outcome unavailable,pending_post_action_data,occupied/total for Triple (snapshot),step5_pricing_analysis.csv,2026-08 (data export snapshot)
DEC-MAINT-PRIORITISE,True,Prioritise recurring maintenance hotspots + review assets for replacement,VISHFUL_INTERNAL,55 high-confidence recurring maintenance hotspots (apartment×issue),none yet,not monetarily quantifiable — measure repeat-ticket reduction,maintenance tickets / month,2026-05..2026-07,116.0,current snapshot,116.0,UNKNOWN,"low-medium (created_at ~31% null; window = populated coverage, undercounts true volume)",baseline_established_pending_action,Outcome unavailable,pending_post_action_data,"mean monthly ticket count, last 3 complete months",maintenance_tickets #71,2026-08 (data export snapshot)
DEC-VAC-Triple,True,Reduce 3-sharing vacancy,VISHFUL_INTERNAL,"9 vacant 3-sharing, occupancy 72.7%, median 12d vacant",none yet,"₹128,700 / month revenue-at-risk (real, step4)",vacant 3-sharing beds & ₹/mo at risk,current snapshot,"9 beds / ₹128,700",current snapshot,"9 beds / ₹128,700",UNKNOWN,high,baseline_established_pending_action,Outcome unavailable,pending_post_action_data,count vacant + rev_at_risk (snapshot),step4_vacancy_at_risk.csv,2026-08 (data export snapshot)
DEC-LOC-MKT,True,Locality-targeted marketing,COMBINED,14 vacant beds internally + dense PG/co-living supply in Vishful's own locality (market context),none yet,not monetarily quantifiable — measure leads by locality,leads by locality,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,not_measurable_pending_data,Outcome unavailable,pending_post_action_data,UNAVAILABLE — leads table has no populated locality field,leads #84,2026-08 (data export snapshot)
DEC-RETENTION-REVIEW,True,Retention review signal (not a leave prediction),VISHFUL_INTERNAL,"1 tenants in High churn-risk band (ranking, ROC-AUC ~0.72 — NOT a classifier)",none yet,not monetarily quantifiable — measure retained vs exited,tenant exits / month,2026-05..2026-07,22.0,current snapshot,22.0,UNKNOWN,medium (exit_date well-populated),baseline_established_pending_action,Outcome unavailable,pending_post_action_data,"mean monthly exits, last 3 complete months",tenant_exits #48,2026-08 (data export snapshot)
DEC-PRICEREV-Single,True,Pricing review candidate (backbone) — no active single signal at present,VISHFUL_INTERNAL,"single: 0 vacant, occupancy 100.0% — no current single pricing-review signal",none yet,not applicable — no current single vacancy/slow-fill,Single occupancy %,current snapshot,100.0%,current snapshot,100.0%,UNKNOWN,high,baseline_established_pending_action,Outcome unavailable,pending_post_action_data,occupied/total for Single (snapshot),step5_pricing_analysis.csv,2026-08 (data export snapshot)
DEC-MKT-ROI-GAP,True,Establish spend->lead->conversion linkage,VISHFUL_INTERNAL,"marketing spend ₹24,631 over 12 months; leads exist (source=whatsapp_bot) but not linked to spend",none yet,ROI UNAVAILABLE — do not estimate,cost per lead / cost per fill,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,not_measurable_pending_data,Outcome unavailable,pending_post_action_data,UNAVAILABLE — no spend<->lead attribution,financials #85 / leads #84,2026-08 (data export snapshot)
DEC-VAC-Double,True,Reduce 2-sharing vacancy,VISHFUL_INTERNAL,"5 vacant 2-sharing, occupancy 96.0%, median 22d vacant",none yet,"₹67,500 / month revenue-at-risk (real, step4)",vacant 2-sharing beds & ₹/mo at risk,current snapshot,"5 beds / ₹67,500",current snapshot,"5 beds / ₹67,500",UNKNOWN,high,baseline_established_pending_action,Outcome unavailable,pending_post_action_data,count vacant + rev_at_risk (snapshot),step4_vacancy_at_risk.csv,2026-08 (data export snapshot)
DEC-VAC-Single,True,No single vacancy action required at present,VISHFUL_INTERNAL,"0 vacant single, occupancy 100.0% — no current single vacancy",none yet,"not applicable — no current vacancy, zero exposure",vacant single beds & ₹/mo at risk,current snapshot,0 beds / ₹0,current snapshot,0 beds / ₹0,UNKNOWN,high,baseline_established_pending_action,Outcome unavailable,pending_post_action_data,count vacant + rev_at_risk (snapshot),step4_vacancy_at_risk.csv,2026-08 (data export snapshot)
OPP-laundry,False,Laundry marketing,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),laundry-related engagement (marketing),UNAVAILABLE,verified capability present,UNAVAILABLE,UNAVAILABLE,UNKNOWN,medium (own asset/issue evidence),actionable_now,Outcome unavailable,pending_post_action_data,engagement/complaint measure once actioned,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
OPP-common_area,False,Common-area marketing,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),common-area marketing engagement,UNAVAILABLE,verified capability present,UNAVAILABLE,UNAVAILABLE,UNKNOWN,medium (own asset/issue evidence),actionable_now,Outcome unavailable,pending_post_action_data,engagement/complaint measure once actioned,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
OPP-food,False,Food owner verification,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),food-service availability,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,owner_verify_first,Outcome unavailable,pending_post_action_data,owner verification required — do not infer presence/absence,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
OPP-security,False,Security/CCTV owner verification,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),CCTV/security availability,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,owner_verify_first,Outcome unavailable,pending_post_action_data,owner verification required — do not infer presence/absence,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
OPP-safety,False,Safety owner verification,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),safety availability,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,owner_verify_first,Outcome unavailable,pending_post_action_data,owner verification required — do not infer presence/absence,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
OPP-parking,False,Parking owner verification,review_derived,market review signal (context) + Vishful fact,none yet,see review layer (no ₹ computed),parking availability,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNAVAILABLE,owner_verify_first,Outcome unavailable,pending_post_action_data,owner verification required — do not infer presence/absence,phase3_review_decision_candidates.csv,2026-08 (data export snapshot)
