decision_id,priority,category,decision,evidence,expected_impact,recommended_action,action_taken,result,uat_status,requires_operational_confirmation,provenance
DEC-LEAD-FOLLOWUP,High,lead follow-up,Follow up open leads promptly,"16 leads in 'in_progress' status (whatsapp_bot), 18 total",not monetarily quantifiable — measure lead->visit->fill,Contact all in_progress leads; log outcome per lead id,none yet,outcome unavailable,Pending,yes,leads #84
DEC-REVPROTECT-AR90,High,revenue protection,Escalate collections on 90+ day AR,47 tenants with dues in the 90+ day bucket,"₹800,503 aged AR (real, ar_aging #89)",Prioritized collections follow-up on 90+ day tenants,none yet,outcome unavailable,Pending,yes,ar_aging #89 / ledger
DEC-AMEN-AC,Medium,amenity marketing,Highlight AC-associated available inventory,5 vacant beds are in AC-equipped apartments (bed/apartment-level allocation),"₹67,500/mo revenue-at-risk on AC-associated vacant beds (real)",Market AC availability on the 5 vacant AC beds,none yet,outcome unavailable,Pending,yes,phase3_inventory_amenity_matrix.csv (allocations #79)
DEC-EB-INVESTIGATE,Medium,electricity cost control,Review the 6 currently-flagged apartment(s) first,6 apartment(s) flagged high-consumption in the current period (2026); 28 distinct apartment(s) flagged cumulatively across 2023-2026,not monetarily quantifiable yet — measure EB units/₹ after inspection,"Inspect the 6 apartment(s) flagged in 2026 before any broader review; the remaining cumulative 2023-2026 flags are historical context, not a current inspection list (do NOT accuse tenants/claim wastage without evidence)",none yet,outcome unavailable,Pending,yes,phase2_eb_anomalies.csv
DEC-LEAD-DEMAND-2SH,Medium,lead-derived demand signal,lead-derived demand signal for 2-sharing (NOT a statistical forecast),2 lead(s) requested Double (2-sharing) while 5 2-sharing beds are vacant,not monetarily quantifiable — measure conversion of these leads,Fast-track 2-sharing leads to the vacant 2-sharing beds,none yet,outcome unavailable,Pending,yes,leads #84; step4
DEC-LOC-MKT,Medium,locality marketing,Locality-targeted marketing,14 vacant beds internally + dense PG/co-living supply in Vishful's own locality (market context),not monetarily quantifiable — measure leads by locality,Run locality-targeted campaign for available inventory (Thiruvanmiyur/Adyar/Perungudi),none yet,outcome unavailable,Pending,yes,step4_vacancy_at_risk.csv; phase3_market_signals.csv (context)
DEC-MAINT-PRIORITISE,Medium,maintenance prioritisation,Prioritise recurring maintenance hotspots + review assets for replacement,55 high-confidence recurring maintenance hotspots (apartment×issue),not monetarily quantifiable — measure repeat-ticket reduction,Schedule preventive maintenance / asset-replacement review on top hotspots,none yet,outcome unavailable,Pending,yes,phase2_maintenance_repeat_register.csv
DEC-PRICEREV-Triple,Medium,pricing review,Pricing review candidate,3-sharing: vacant 12d occupancy 72.7% despite current rate card,not monetarily quantifiable — review only,Review rate card + fill signal for 3-sharing (do NOT auto-change price),none yet,outcome unavailable,Pending,yes,rate_card #43; step4/step5
DEC-RETENTION-REVIEW,Medium,tenant retention,Retention review signal (not a leave prediction),"1 tenants in High churn-risk band (ranking, ROC-AUC ~0.72 — NOT a classifier)",not monetarily quantifiable — measure retained vs exited,Owner/staff review of High-band tenants for retention outreach,none yet,outcome unavailable,Pending,yes,phase2_churn_risk_scored.csv
DEC-VAC-Triple,Medium,vacancy reduction,Reduce 3-sharing vacancy,"9 vacant 3-sharing, occupancy 72.7%, median 12d vacant","₹128,700 / month revenue-at-risk (real, step4)",Promote available 3-sharing inventory,none yet,outcome unavailable,Pending,yes,step4_vacancy_at_risk.csv; step5_pricing_analysis.csv
DEC-MKT-ROI-GAP,Low,campaign allocation,Establish spend->lead->conversion linkage,"marketing spend ₹24,631 over 12 months; leads exist (source=whatsapp_bot) but not linked to spend",ROI UNAVAILABLE — do not estimate,Start tagging spend by channel/campaign + link leads to allotments,none yet,outcome unavailable,Pending,yes,financials #85; leads #84
DEC-PRICEREV-Single,Low,pricing review,Pricing review candidate (backbone) — no active single signal at present,"single: 0 vacant, occupancy 100.0% — no current single pricing-review signal",not applicable — no current single vacancy/slow-fill,Monitor single occupancy/fill; no rate action indicated now (do NOT auto-change price),none yet,outcome unavailable,Pending,yes,rate_card #43; step4/step5
DEC-VAC-Double,Low,vacancy reduction,Reduce 2-sharing vacancy,"5 vacant 2-sharing, occupancy 96.0%, median 22d vacant","₹67,500 / month revenue-at-risk (real, step4)",Promote available 2-sharing inventory,none yet,outcome unavailable,Pending,yes,step4_vacancy_at_risk.csv; step5_pricing_analysis.csv
DEC-VAC-Single,Low,vacancy reduction,No single vacancy action required at present,"0 vacant single, occupancy 100.0% — no current single vacancy","not applicable — no current vacancy, zero exposure",No current single vacancy to promote. Monitor inventory availability.,none yet,outcome unavailable,Pending,yes,step4_vacancy_at_risk.csv; step5_pricing_analysis.csv
