decision_id,category,priority,score,evidence_source,data_signal,business_problem,decision,recommended_action,expected_impact,missing_data_flag,tracking_field,provenance
DEC-REVPROTECT-AR90,revenue protection,High,70.0,VISHFUL_INTERNAL,47 tenants with dues in the 90+ day bucket,"₹800,503 aged receivables at risk",Escalate collections on 90+ day AR,Prioritized collections follow-up on 90+ day tenants,"₹800,503 aged AR (real, ar_aging #89)",,"ar_recovered, dues_cleared",ar_aging #89 / ledger
DEC-LEAD-FOLLOWUP,lead follow-up,High,65.0,VISHFUL_INTERNAL,"16 leads in 'in_progress' status (whatsapp_bot), 18 total",Open leads not progressed to visit/conversion,Follow up open leads promptly,Contact all in_progress leads; log outcome per lead id,not monetarily quantifiable — measure lead->visit->fill,lead->conversion linkage UNAVAILABLE (leads #84 not joined to allotments #44),"visits_booked, leads_converted, beds_filled",leads #84
DEC-AMEN-AC,amenity marketing,Medium,55.0,VISHFUL_INTERNAL,5 vacant beds are in AC-equipped apartments (bed/apartment-level allocation),Available inventory has a confirmed premium amenity not being marketed,Highlight AC-associated available inventory,Market AC availability on the 5 vacant AC beds,"₹67,500/mo revenue-at-risk on AC-associated vacant beds (real)",,beds_filled on AC inventory,phase3_inventory_amenity_matrix.csv (allocations #79)
DEC-LEAD-DEMAND-2SH,lead-derived demand signal,Medium,50.0,VISHFUL_INTERNAL,2 lead(s) requested Double (2-sharing) while 5 2-sharing beds are vacant,Live demand signal aligns with current 2-sharing vacancy,lead-derived demand signal for 2-sharing (NOT a statistical forecast),Fast-track 2-sharing leads to the vacant 2-sharing beds,not monetarily quantifiable — measure conversion of these leads,small n (leads bed_type mostly null),leads_converted_2sharing,leads #84; step4
DEC-EB-INVESTIGATE,electricity cost control,Medium,50.0,VISHFUL_INTERNAL,6 apartment(s) flagged high-consumption in the current period (2026); 28 distinct apartment(s) flagged cumulatively across 2023-2026,"High electricity cost signals — 6 current in 2026, the rest historical; cause unknown",Review the 6 currently-flagged apartment(s) first,"Inspect the 6 apartment(s) flagged in 2026 before any broader review; the remaining cumulative 2023-2026 flags are historical context, not a current inspection list (do NOT accuse tenants/claim wastage without evidence)",not monetarily quantifiable yet — measure EB units/₹ after inspection,root cause not in data; cumulative count spans 2023-2026 and is not a current backlog,"units_consumed_after, eb_cost_change",phase2_eb_anomalies.csv
DEC-PRICEREV-Triple,pricing review,Medium,50.0,VISHFUL_INTERNAL,3-sharing: vacant 12d occupancy 72.7% despite current rate card,Persistent vacancy on 3-sharing despite existing rate,Pricing review candidate,Review rate card + fill signal for 3-sharing (do NOT auto-change price),not monetarily quantifiable — review only,,"occupancy_after_review, days_to_fill",rate_card #43; step4/step5
DEC-MAINT-PRIORITISE,maintenance prioritisation,Medium,48.0,VISHFUL_INTERNAL,55 high-confidence recurring maintenance hotspots (apartment×issue),Repeat maintenance burden concentrated on specific apartment/issue combos,Prioritise recurring maintenance hotspots + review assets for replacement,Schedule preventive maintenance / asset-replacement review on top hotspots,not monetarily quantifiable — measure repeat-ticket reduction,,"repeat_tickets_after, resolution_time",phase2_maintenance_repeat_register.csv
DEC-VAC-Triple,vacancy reduction,Medium,46.1,VISHFUL_INTERNAL,"9 vacant 3-sharing, occupancy 72.7%, median 12d vacant","₹128,700/mo revenue exposure from vacant 3-sharing",Reduce 3-sharing vacancy,Promote available 3-sharing inventory,"₹128,700 / month revenue-at-risk (real, step4)",Triple fill-time unknown,"beds_filled, occupancy_after, revenue_recovered",step4_vacancy_at_risk.csv; step5_pricing_analysis.csv
DEC-LOC-MKT,locality marketing,Medium,45.0,COMBINED,14 vacant beds internally + dense PG/co-living supply in Vishful's own locality (market context),Marketing spend should focus where inventory needs fill,Locality-targeted marketing,Run locality-targeted campaign for available inventory (Thiruvanmiyur/Adyar/Perungudi),not monetarily quantifiable — measure leads by locality,,"leads_by_locality, fills",step4_vacancy_at_risk.csv; phase3_market_signals.csv (context)
DEC-RETENTION-REVIEW,tenant retention,Medium,45.0,VISHFUL_INTERNAL,"1 tenants in High churn-risk band (ranking, ROC-AUC ~0.72 — NOT a classifier)",Possible avoidable exits concentrated in a ranked watch-list,Retention review signal (not a leave prediction),Owner/staff review of High-band tenants for retention outreach,not monetarily quantifiable — measure retained vs exited,"churn is ranking-only, not a hard prediction","retained_count, exits_avoided",phase2_churn_risk_scored.csv
