evidence_id,domain,statement,metric_name,metric_value,unit,source_dataset,source_field,source_row_ref,engine,provenance,confidence,as_of_date,data_limitation
EV-VAC-TOTAL,vacancy,"14 vacant beds; monthly revenue at risk Rs196,200",vacant_beds,14,beds,step4_vacancy_at_risk.csv,bed_code,aggregate,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,vacancy duration approximate (bed_status_history missing)
EV-VAC-RISK,vacancy,"Total monthly revenue at risk Rs196,200 across 14 vacant beds",rev_at_risk_monthly,196200,INR/month,step4_vacancy_at_risk.csv,rev_at_risk_monthly,aggregate,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,none
EV-VAC-DOU,vacancy,"5 vacant Double beds; Rs67,500/month at risk",vacant_beds,5,beds,step4_vacancy_at_risk.csv,bed_type,Double,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,none
EV-VAC-DOU-RISK,vacancy,"Double vacant beds monthly revenue at risk Rs67,500",rev_at_risk_monthly,67500,INR/month,step4_vacancy_at_risk.csv,rev_at_risk_monthly,Double,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,none
EV-VAC-TRI,vacancy,"9 vacant Triple beds; Rs128,700/month at risk",vacant_beds,9,beds,step4_vacancy_at_risk.csv,bed_type,Triple,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,none
EV-VAC-TRI-RISK,vacancy,"Triple vacant beds monthly revenue at risk Rs128,700",rev_at_risk_monthly,128700,INR/month,step4_vacancy_at_risk.csv,rev_at_risk_monthly,Triple,step4_vacancy,VISHFUL_INTERNAL,High,2026-08,none
EV-DEM-OPEN,demand,18 open leads (in_progress/visit_requested),open_leads,18,leads,phase3_lead_followup.csv,lead_status,aggregate,phase3_lead_followup,VISHFUL_INTERNAL,High,2026-08,none
EV-DEM-DOU,demand,2 open Double-sharing leads,open_leads,2,leads,phase3_lead_followup.csv,requested_bed_type,Double,phase3_lead_followup,VISHFUL_INTERNAL,High,2026-08,none
EV-AR-HIGH,collections,"104 tenants at high overdue risk (>0.7); AR Rs1,807,652",high_risk_tenants,104,tenants,phase2_overdue_risk_scored.csv,risk,aggregate,overdue_model,VISHFUL_INTERNAL,High,2026-08,settlement UNRECONCILED (receipt_allocations missing)
EV-AR-HIGH-AMT,collections,"AR exposure of high-risk tenants Rs1,807,652",ar_amount,1807652,INR,phase2_overdue_risk_scored.csv,amount,aggregate,overdue_model,VISHFUL_INTERNAL,High,2026-08,settlement UNRECONCILED (receipt_allocations missing)
EV-CHURN-HIGH,churn,1 tenants in High churn-risk band,high_band_tenants,1,tenants,phase2_churn_risk_scored.csv,risk_band,High,churn_model,VISHFUL_INTERNAL,Medium,2026-08,ranking-only (ROC-AUC ~0.72); not a yes/no classifier
EV-EB-LEAK,eb,7 possible-leak EB candidates (occupancy-aware),leak_candidates,7,meters,phase2_eb_leak_signals.csv,leak_signal,aggregate,eb_leak,VISHFUL_INTERNAL,Medium,2026-08,abnormal consumption is NOT a confirmed leak (inspect)
EV-MAINT-HOT,maintenance,55 high-confidence High-priority recurring maintenance hotspots (<=90d),hotspots,55,apartment_issue_groups,phase2_maintenance_repeat_register.csv,priority,aggregate,maintenance_repeat,VISHFUL_INTERNAL,High,2026-08,act on date_confidence=high only
EV-AMEN-AC,amenity,Vishful amenity 'AC' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,AC,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-HOTWATER,amenity,Vishful amenity 'Hot water' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Hot water,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-ROWATER,amenity,Vishful amenity 'RO water' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,RO water,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-REFRIGER,amenity,Vishful amenity 'Refrigerator' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Refrigerator,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-WASHINGM,amenity,Vishful amenity 'Washing machine' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Washing machine,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-TV,amenity,Vishful amenity 'TV' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,TV,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-KITCHEN,amenity,Vishful amenity 'Kitchen' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Kitchen,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-FAN,amenity,Vishful amenity 'Fan' is verified present (apartment_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Fan,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-WIFI,amenity,Vishful amenity 'Wi-Fi' is verified present (property_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Wi-Fi,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-AMEN-HOUSEKEE,amenity,Vishful amenity 'Housekeeping' is verified present (property_level),verified,1,flag,phase3_amenity_master_from_data.csv,verified_status,Housekeeping,amenity_master,VISHFUL_INTERNAL,High,2026-08,none
EV-MKT-AMEN-AC,market,'AC' is publicly published on 3 first-party market sources,published_sources,3,sources,phase3_market_decision_signals.csv,signal_value,AC,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,market context only; no causal conversion evidence
EV-MKT-AMEN-WIFI,market,'Wi-Fi' is publicly published on 5 first-party market sources,published_sources,5,sources,phase3_market_decision_signals.csv,signal_value,Wi-Fi,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,market context only; no causal conversion evidence
EV-MKT-AMEN-FOOD,market,'Food' is publicly published on 4 first-party market sources,published_sources,4,sources,phase3_market_decision_signals.csv,signal_value,Food,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,Vishful own status unknown -> owner verification required
EV-MKT-AMEN-PARKING,market,'Parking' is publicly published on 3 first-party market sources,published_sources,3,sources,phase3_market_decision_signals.csv,signal_value,Parking,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,Vishful own status unknown -> owner verification required
EV-MKT-AMEN-SECURITY,market,'Security/CCTV' is publicly published on 2 first-party market sources,published_sources,2,sources,phase3_market_decision_signals.csv,signal_value,Security/CCTV,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,Vishful own status unknown -> owner verification required
EV-MKT-AMEN-POWERBAC,market,'Power backup' is publicly published on 1 first-party market sources,published_sources,1,sources,phase3_market_decision_signals.csv,signal_value,Power backup,market_decision_signals,MARKET_CONTEXT,Medium,2026-08,Vishful own status unknown -> owner verification required
EV-MKT-SHARE-2SHARING,market,'2-sharing' sharing configuration appears in public market listings,published,1,flag,phase3_market_decision_signals.csv,signal_value,2-sharing,market_decision_signals,MARKET_CONTEXT,Low,2026-08,market context only
